bugged_Bugged;halstead_TotalNumberOfOperators;halstead_NumberOfDistinctOperators;halstead_TotalNumberOfOperands;halstead_NumberOfDistinctOperands;halstead_Length;halstead_Vocabulary;halstead_Volume;halstead_Difficulty;halstead_Effort;issues_process_fixes_count;issues_process_fixes_insertions_count;issues_process_fixes_insertions_mean;issues_process_fixes_insertions_std;issues_process_fixes_insertions_min;issues_process_fixes_insertions_max;issues_process_fixes_deletions_count;issues_process_fixes_deletions_mean;issues_process_fixes_deletions_std;issues_process_fixes_deletions_min;issues_process_fixes_deletions_max;issues_process_fixes_changes_count;issues_process_fixes_changes_mean;issues_process_fixes_changes_std;issues_process_fixes_changes_min;issues_process_fixes_changes_max;issues_process_non_fixes_count;issues_process_issues_count;issues_process_issues_insertions_count;issues_process_issues_insertions_mean;issues_process_issues_insertions_std;issues_process_issues_insertions_min;issues_process_issues_insertions_max;issues_process_issues_deletions_count;issues_process_issues_deletions_mean;issues_process_issues_deletions_std;issues_process_issues_deletions_min;issues_process_issues_deletions_max;issues_process_issues_changes_count;issues_process_issues_changes_mean;issues_process_issues_changes_std;issues_process_issues_changes_min;issues_process_issues_changes_max;issues_product_blame_merge_count;issues_product_blame_merge_blame_getDistinctOperatorsCnt_count;issues_product_blame_merge_blame_getDistinctOperatorsCnt_mean;issues_product_blame_merge_blame_getDistinctOperatorsCnt_std;issues_product_blame_merge_blame_getDistinctOperatorsCnt_min;issues_product_blame_merge_blame_getDistinctOperatorsCnt_max;issues_product_blame_merge_blame_getTotalOparandsCnt_count;issues_product_blame_merge_blame_getTotalOparandsCnt_mean;issues_product_blame_merge_blame_getTotalOparandsCnt_std;issues_product_blame_merge_blame_getTotalOparandsCnt_min;issues_product_blame_merge_blame_getTotalOparandsCnt_max;issues_product_blame_merge_blame_getEffort_count;issues_product_blame_merge_blame_getEffort_mean;issues_product_blame_merge_blame_getEffort_std;issues_product_blame_merge_blame_getEffort_min;issues_product_blame_merge_blame_getEffort_max;issues_product_blamemerge_blamegetTotalOperatorsCnt_count;issues_product_blamemerge_blamegetTotalOperatorsCnt_mean;issues_product_blamemerge_blamegetTotalOperatorsCnt_std;issues_product_blamemerge_blamegetTotalOperatorsCnt_max;issues_product_blamemerge_blamegetDistinctOperatorsCnt_count;issues_product_blamemerge_blamegetDistinctOperatorsCnt_mean;issues_product_blamemerge_blamegetDistinctOperatorsCnt_std;issues_product_blamemerge_blamegetDistinctOperatorsCnt_max;issues_product_blamemerge_blamegetTotalOparandsCnt_count;issues_product_blamemerge_blamegetTotalOparandsCnt_mean;issues_product_blamemerge_blamegetTotalOparandsCnt_std;issues_product_blamemerge_blamegetTotalOparandsCnt_max;issues_product_blamemerge_blamegetDistinctOperandsCnt_count;issues_product_blamemerge_blamegetDistinctOperandsCnt_mean;issues_product_blamemerge_blamegetDistinctOperandsCnt_std;issues_product_blamemerge_blamegetDistinctOperandsCnt_max;issues_product_blamemerge_blamegetLength_count;issues_product_blamemerge_blamegetLength_mean;issues_product_blamemerge_blamegetLength_std;issues_product_blamemerge_blamegetLength_max;issues_product_blamemerge_blamegetVocabulary_count;issues_product_blamemerge_blamegetVocabulary_mean;issues_product_blamemerge_blamegetVocabulary_std;issues_product_blamemerge_blamegetVocabulary_max;issues_product_blamemerge_blamegetVolume_count;issues_product_blamemerge_blamegetVolume_mean;issues_product_blamemerge_blamegetVolume_std;issues_product_blamemerge_blamegetVolume_max;issues_product_blamemerge_blamegetDifficulty_count;issues_product_blamemerge_blamegetDifficulty_mean;issues_product_blamemerge_blamegetDifficulty_std;issues_product_blamemerge_blamegetDifficulty_max;issues_product_blamemerge_blamegetEffort_count;issues_product_blamemerge_blamegetEffort_mean;issues_product_blamemerge_blamegetEffort_std;issues_product_blamemerge_blamegetEffort_max;process_files_all_process_count;process_files_all_process_insertions_count;process_files_all_process_insertions_mean;process_files_all_process_insertions_std;process_files_all_process_insertions_min;process_files_all_process_insertions_max;process_files_all_process_deletions_count;process_files_all_process_deletions_mean;process_files_all_process_deletions_std;process_files_all_process_deletions_min;process_files_all_process_deletions_max;process_files_all_process_changes_count;process_files_all_process_changes_mean;process_files_all_process_changes_std;process_files_all_process_changes_min;process_files_all_process_changes_max
False;1207.0;54.0;521.0;119.0;1728.0;173.0;12847.03757735626;118.21008403361344;1518649.391602273;26.0;26.0;22.807692307692307;37.98212130017935;0.0;157.0;26.0;8.653846153846153;11.383996864694955;0.0;39.0;26.0;31.46153846153846;41.319468311420245;1.0;157.0;0.0;265.0;265.0;0.0528301886792452;0.2241176077765746;0.0;1.0;265.0;1.1056603773584903;0.4482352155531492;1.0;3.0;265.0;1.1584905660377358;0.6723528233297243;1.0;4.0;369.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;369.0;3.289972899728997;4.231729558184385;16.0;369.0;2.5040650406504064;2.966407898763279;10.0;369.0;1.4200542005420054;2.1681310819133297;9.0;369.0;1.3468834688346885;2.0387542258567617;9.0;369.0;4.710027100271002;6.22538040127412;21.0;369.0;3.850948509485095;4.83330895521698;17.0;369.0;14.968954672999129;22.64802492115121;85.83671966625714;369.0;1.1700187120918828;1.68180901276942;7.5;369.0;53.23023727118056;96.97316322263814;490.4955409500408;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;354.0;28.0;176.0;71.0;530.0;99.0;3513.559008642193;34.70422535211268;121935.34362386428;2.0;2.0;67.5;94.04520189781084;1.0;134.0;2.0;0.0;0.0;0.0;0.0;2.0;67.5;94.04520189781084;1.0;134.0;0.0;14.0;14.0;67.5;69.01031138114853;1.0;134.0;14.0;0.0;0.0;0.0;0.0;14.0;67.5;69.01031138114853;1.0;134.0;539.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;539.0;2.62708719851577;4.179976282572134;21.0;539.0;1.9294990723562155;2.6665074566299416;10.0;539.0;1.3061224489795915;2.4932957675002947;9.0;539.0;1.1725417439703154;2.13091669970013;9.0;539.0;3.933209647495362;6.452225855425667;29.0;539.0;3.1020408163265305;4.506374616496562;16.0;539.0;12.593034192472649;23.32170309090016;107.31275182609168;539.0;0.9684601113172542;1.5496514909147836;5.25;539.0;42.62240349522002;92.21994102655954;369.1188618845739;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;17318.0;60.0;7632.0;243.0;24950.0;303.0;205667.1908876501;942.2222222222222;193784197.63636363;97.0;97.0;241.64948453608247;1129.642679873791;0.0;7893.0;97.0;198.3917525773196;1127.0395175405067;0.0;7893.0;97.0;440.0412371134021;2251.6126624300014;0.0;15786.0;0.0;1362.0;1362.0;19.87224669603524;51.69309598594508;0.0;854.0;1362.0;4.791483113069016;7.3299873850829425;0.0;80.0;1362.0;24.663729809104257;53.72778141157214;1.0;854.0;10366.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10366.0;2.075728342658692;3.821759030715827;21.0;10366.0;1.7125217055759212;2.9370845201157465;13.0;10366.0;0.9474242716573412;1.9296439895712616;12.0;10366.0;0.848639783908933;1.639994464856975;9.0;10366.0;3.023152614316033;5.587547689470705;30.0;10366.0;2.5611614894848542;4.436361655524433;20.0;10366.0;9.778628662506955;20.659410234223227;121.01398665684616;10366.0;0.8711531173341419;1.715866185281523;10.5;10366.0;42.296589337152895;112.72498262425157;1214.2821604200014;97.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;293.0;25.0;115.0;33.0;408.0;58.0;2390.056246012049;43.56060606060606;104112.29859522186;7.0;7.0;11.428571428571429;18.40160448490967;0.0;50.0;7.0;6.857142857142857;6.669047194029329;0.0;18.0;7.0;18.285714285714285;19.19821420266553;0.0;51.0;0.0;254.0;254.0;0.3976377952755905;4.428098648295922;0.0;50.0;254.0;1.0354330708661417;0.5647102246243425;1.0;10.0;254.0;1.4330708661417322;4.468759457149963;1.0;51.0;549.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;549.0;2.145719489981785;2.6808126153901126;13.0;549.0;1.4098360655737705;1.8307924200971617;8.0;549.0;1.499089253187614;1.930947322737525;9.0;549.0;1.4863387978142075;1.9004165606478711;7.0;549.0;3.644808743169399;4.507037826830186;18.0;549.0;2.8961748633879782;3.561012006370237;13.0;549.0;10.330882902764916;13.232659857572006;64.52932501298082;549.0;0.6955503512880563;0.9476344101817896;5.0;549.0;19.010406145440992;31.5969511576972;322.64662506490413;7.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;1846.0;46.0;779.0;111.0;2625.0;157.0;19148.37946584052;161.4144144144144;3090824.458463645;39.0;39.0;75.51282051282051;244.8960973872788;0.0;1108.0;39.0;71.51282051282051;245.30452307659425;0.0;1108.0;39.0;147.02564102564102;489.35260601068296;0.0;2212.0;0.0;641.0;641.0;3.630265210608425;11.195937659964146;0.0;145.0;641.0;3.135725429017161;7.119646221863342;0.0;76.0;641.0;6.765990639625585;14.562306790346174;1.0;156.0;1107.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1107.0;1.6675700090334236;3.2582716775748377;17.0;1107.0;1.3848238482384825;2.4999213442690578;10.0;1107.0;0.7037037037037037;1.6339566946345494;10.0;1107.0;0.6531165311653117;1.4885933831535143;8.0;1107.0;2.3712737127371275;4.712187125761904;22.0;1107.0;2.037940379403794;3.834553865714267;15.0;1107.0;7.298867582797351;16.32689752743888;83.76180828526728;1107.0;0.6614444874607476;1.3833768660663286;6.75;1107.0;26.331561365080788;68.2954578837237;502.57084971160367;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
True;102.0;22.0;48.0;31.0;150.0;53.0;859.1880681844799;17.032258064516128;14633.91290327114;10.0;10.0;5.3;10.56251232740898;0.0;32.0;10.0;10.3;24.8866318421044;0.0;80.0;10.0;15.6;35.11631466363684;0.0;112.0;0.0;251.0;251.0;0.0;0.0;0.0;0.0;251.0;1.0;0.0;1.0;1.0;251.0;1.0;0.0;1.0;1.0;280.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;280.0;3.525;2.388611720188275;9.0;280.0;2.2142857142857144;1.5965272091462428;7.0;280.0;2.7;1.8653605261378077;5.0;280.0;2.7;1.8653605261378077;5.0;280.0;6.225;4.218420520122172;14.0;280.0;4.914285714285715;3.3472520464047486;12.0;280.0;17.59303887953306;12.289069322694756;50.18947501009619;280.0;1.0857142857142856;0.8130716508848445;3.5;280.0;28.690758776807908;26.050100769105143;175.66316253533665;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;616.0;45.0;262.0;67.0;878.0;112.0;5976.857621566576;87.98507462686567;525874.263867686;17.0;17.0;9.411764705882351;22.310476304668544;0.0;94.0;17.0;2.588235294117647;3.641064808703145;0.0;13.0;17.0;12.0;22.767850140054943;0.0;95.0;0.0;647.0;647.0;4.216383307573416;11.642488266230655;0.0;94.0;647.0;0.5502318392581144;0.8439526871322935;0.0;6.0;647.0;4.76661514683153;11.739151429977005;1.0;95.0;816.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;816.0;2.321078431372549;2.708740103071576;12.0;816.0;1.7941176470588236;2.158564555043334;9.0;816.0;1.3737745098039216;1.8008173926323348;9.0;816.0;1.3223039215686274;1.7423748227220708;9.0;816.0;3.694852941176471;4.381082923856741;21.0;816.0;3.116421568627451;3.612510632328657;17.0;816.0;10.310395219763429;13.53744161073155;77.66179398375645;816.0;0.9009140114379084;1.2860593187575309;7.0;816.0;24.41370643935745;47.39949563750135;393.16283204276704;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;603.0;39.0;274.0;46.0;877.0;85.0;5621.0358509927655;116.15217391304348;652895.5337359641;38.0;38.0;20.605263157894736;35.21097761385604;0.0;196.0;38.0;12.552631578947368;15.61651476572686;0.0;63.0;38.0;33.1578947368421;38.83334198214381;1.0;196.0;0.0;621.0;621.0;3.2351046698872787;8.778977337586952;0.0;50.0;621.0;2.5120772946859904;4.661641587551546;0.0;23.0;621.0;5.747181964573269;11.86002417777808;1.0;54.0;437.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;437.0;2.810068649885584;4.6833777159373735;15.0;437.0;1.897025171624714;2.8326269669281565;10.0;437.0;1.434782608695652;2.7037992740880816;10.0;437.0;1.2700228832951943;2.37056553648658;8.0;437.0;4.244851258581236;7.347969967946494;24.0;437.0;3.1670480549199085;4.989163829297985;14.0;437.0;14.475704057506036;27.436065765199466;91.37651812938248;437.0;0.9795194508009152;1.7216838881585237;7.5;437.0;54.49366104790976;109.34178132483052;485.4377525623444;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;520.0;45.0;256.0;73.0;776.0;118.0;5340.931006304789;78.9041095890411;421421.4054289806;16.0;16.0;3.8125;4.901955392153897;0.0;18.0;16.0;4.125;7.41057802513857;0.0;30.0;16.0;7.9375;10.266247285806696;0.0;39.0;0.0;608.0;608.0;0.6907894736842105;1.3338011116199209;0.0;18.0;608.0;0.9572368421052632;0.2895436331148138;0.0;3.0;608.0;1.6480263157894737;1.304331670393063;1.0;18.0;547.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;547.0;2.9104204753199268;3.543195150448073;25.0;547.0;1.923217550274223;2.2881983960032057;14.0;547.0;2.010968921389397;2.4049453728276444;12.0;547.0;1.939670932358318;2.2084623878668137;9.0;547.0;4.921389396709324;5.857842766374412;34.0;547.0;3.862888482632541;4.26775898252963;20.0;547.0;14.92316603112994;20.78100490730993;144.4295354570819;547.0;0.964057195090102;1.2976825613765937;9.75;547.0;38.9426527650904;105.16640452112158;1408.1879707065484;16.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
False;456.0;36.0;204.0;45.0;660.0;81.0;4184.301001903853;81.6;341438.9617553544;19.0;19.0;6.578947368421052;8.846316179151662;0.0;33.0;19.0;8.736842105263158;24.79435891323123;0.0;110.0;19.0;15.31578947368421;29.45439531731677;0.0;130.0;0.0;437.0;437.0;0.7459954233409611;2.9880517002357507;0.0;33.0;437.0;0.7162471395881007;0.6580737900067617;0.0;5.0;437.0;1.462242562929062;3.088387172352161;1.0;33.0;548.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;548.0;2.846715328467153;2.966948982736836;13.0;548.0;2.0145985401459856;2.142920495035161;10.0;548.0;1.8467153284671531;1.9858383848290384;7.0;548.0;1.7992700729927007;1.9206944337698373;5.0;548.0;4.693430656934306;4.84088626178826;20.0;548.0;3.8138686131386863;3.82310272419462;15.0;548.0;13.47148473367976;15.50379778876381;78.13781191217038;548.0;0.9706508515815084;1.2845248756478482;7.5;548.0;31.59700794638032;63.48666007045449;546.9646833851926;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
